ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX
0.0,18.1,0.0,0.671,6.794,98.8,1.358,24.0,666.0
0.0,18.1,0.0,0.671,6.38,96.2,1.3861,24.0,666.0
0.0,18.1,0.0,0.671,6.223,100.0,1.3861,24.0,666.0
0.0,18.1,0.0,0.671,6.968,91.9,1.4165,24.0,666.0
0.0,18.1,0.0,0.671,6.545,99.1,1.5192,24.0,666.0
0.0,18.1,0.0,0.7,5.536,100.0,1.5804,24.0,666.0
0.0,18.1,0.0,0.7,5.52,100.0,1.5331,24.0,666.0
0.0,18.1,0.0,0.7,4.368,91.2,1.4395,24.0,666.0
0.0,18.1,0.0,0.7,5.277,98.1,1.4261,24.0,666.0
0.0,18.1,0.0,0.7,4.652,100.0,1.4672,24.0,666.0
0.0,18.1,0.0,0.7,5.0,89.5,1.5184,24.0,666.0
0.0,18.1,0.0,0.7,4.88,100.0,1.5895,24.0,666.0
0.0,18.1,0.0,0.7,5.39,98.9,1.7281,24.0,666.0
0.0,18.1,0.0,0.7,5.713,97.0,1.9265,24.0,666.0
0.0,18.1,0.0,0.7,6.051,82.5,2.1678,24.0,666.0
0.0,18.1,0.0,0.7,5.036,97.0,1.77,24.0,666.0
0.0,18.1,0.0,0.693,6.193,92.6,1.7912,24.0,666.0
0.0,18.1,0.0,0.693,5.887,94.7,1.7821,24.0,666.0
0.0,18.1,0.0,0.693,6.471,98.8,1.7257,24.0,666.0
0.0,18.1,0.0,0.693,6.405,96.0,1.6768,24.0,666.0
0.0,18.1,0.0,0.693,5.747,98.9,1.6334,24.0,666.0
0.0,18.1,0.0,0.693,5.453,100.0,1.4896,24.0,666.0
0.0,18.1,0.0,0.693,5.852,77.8,1.5004,24.0,666.0
0.0,18.1,0.0,0.693,5.987,100.0,1.5888,24.0,666.0
0.0,18.1,0.0,0.693,6.343,100.0,1.5741,24.0,666.0
0.0,18.1,0.0,0.693,6.404,100.0,1.639,24.0,666.0
0.0,18.1,0.0,0.693,5.349,96.0,1.7028,24.0,666.0
0.0,18.1,0.0,0.693,5.531,85.4,1.6074,24.0,666.0
0.0,18.1,0.0,0.693,5.683,100.0,1.4254,24.0,666.0
0.0,18.1,0.0,0.659,4.138,100.0,1.1781,24.0,666.0
0.0,18.1,0.0,0.659,5.608,100.0,1.2852,24.0,666.0
0.0,18.1,0.0,0.597,5.617,97.9,1.4547,24.0,666.0
0.0,18.1,0.0,0.597,6.852,100.0,1.4655,24.0,666.0
0.0,18.1,0.0,0.597,5.757,100.0,1.413,24.0,666.0
0.0,18.1,0.0,0.597,6.657,100.0,1.5275,24.0,666.0
0.0,18.1,0.0,0.597,4.628,100.0,1.5539,24.0,666.0
0.0,18.1,0.0,0.597,5.155,100.0,1.5894,24.0,666.0
0.0,18.1,0.0,0.693,4.519,100.0,1.6582,24.0,666.0
0.0,18.1,0.0,0.679,6.434,100.0,1.8347,24.0,666.0
0.0,18.1,0.0,0.679,6.782,90.8,1.8195,24.0,666.0
0.0,18.1,0.0,0.679,5.304,89.1,1.6475,24.0,666.0
0.0,18.1,0.0,0.679,5.957,100.0,1.8026,24.0,666.0
0.0,18.1,0.0,0.718,6.824,76.5,1.794,24.0,666.0
0.0,18.1,0.0,0.718,6.411,100.0,1.8589,24.0,666.0
0.0,18.1,0.0,0.718,6.006,95.3,1.8746,24.0,666.0
0.0,18.1,0.0,0.614,5.648,87.6,1.9512,24.0,666.0
0.0,18.1,0.0,0.614,6.103,85.1,2.0218,24.0,666.0
0.0,18.1,0.0,0.584,5.565,70.6,2.0635,24.0,666.0
0.0,18.1,0.0,0.679,5.896,95.4,1.9096,24.0,666.0
0.0,18.1,0.0,0.584,5.837,59.7,1.9976,24.0,666.0
0.0,18.1,0.0,0.679,6.202,78.7,1.8629,24.0,666.0
0.0,18.1,0.0,0.679,6.193,78.1,1.9356,24.0,666.0
0.0,18.1,0.0,0.679,6.38,95.6,1.9682,24.0,666.0
0.0,18.1,0.0,0.584,6.348,86.1,2.0527,24.0,666.0
0.0,18.1,0.0,0.584,6.833,94.3,2.0882,24.0,666.0
0.0,18.1,0.0,0.584,6.425,74.8,2.2004,24.0,666.0
0.0,18.1,0.0,0.713,6.436,87.9,2.3158,24.0,666.0
0.0,18.1,0.0,0.713,6.208,95.0,2.2222,24.0,666.0
0.0,18.1,0.0,0.74,6.629,94.6,2.1247,24.0,666.0
0.0,18.1,0.0,0.74,6.461,93.3,2.0026,24.0,666.0
0.0,18.1,0.0,0.74,6.152,100.0,1.9142,24.0,666.0
0.0,18.1,0.0,0.74,5.935,87.9,1.8206,24.0,666.0
0.0,18.1,0.0,0.74,5.627,93.9,1.8172,24.0,666.0
0.0,18.1,0.0,0.74,5.818,92.4,1.8662,24.0,666.0
0.0,18.1,0.0,0.74,6.406,97.2,2.0651,24.0,666.0
0.0,18.1,0.0,0.74,6.219,100.0,2.0048,24.0,666.0
0.0,18.1,0.0,0.74,6.485,100.0,1.9784,24.0,666.0
0.0,18.1,0.0,0.74,5.854,96.6,1.8956,24.0,666.0
0.0,18.1,0.0,0.74,6.459,94.8,1.9879,24.0,666.0
0.0,18.1,0.0,0.74,6.341,96.4,2.072,24.0,666.0
0.0,18.1,0.0,0.74,6.251,96.6,2.198,24.0,666.0
0.0,18.1,0.0,0.713,6.185,98.7,2.2616,24.0,666.0
0.0,18.1,0.0,0.713,6.417,98.3,2.185,24.0,666.0
0.0,18.1,0.0,0.713,6.749,92.6,2.3236,24.0,666.0
0.0,18.1,0.0,0.713,6.655,98.2,2.3552,24.0,666.0
0.0,18.1,0.0,0.713,6.297,91.8,2.3682,24.0,666.0
0.0,18.1,0.0,0.713,7.393,99.3,2.4527,24.0,666.0
0.0,18.1,0.0,0.713,6.728,94.1,2.4961,24.0,666.0
0.0,18.1,0.0,0.713,6.525,86.5,2.4358,24.0,666.0
0.0,18.1,0.0,0.713,5.976,87.9,2.5806,24.0,666.0
0.0,18.1,0.0,0.713,5.936,80.3,2.7792,24.0,666.0
0.0,18.1,0.0,0.713,6.301,83.7,2.7831,24.0,666.0
0.0,18.1,0.0,0.713,6.081,84.4,2.7175,24.0,666.0
0.0,18.1,0.0,0.713,6.701,90.0,2.5975,24.0,666.0
0.0,18.1,0.0,0.713,6.376,88.4,2.5671,24.0,666.0
0.0,18.1,0.0,0.713,6.317,83.0,2.7344,24.0,666.0
0.0,18.1,0.0,0.713,6.513,89.9,2.8016,24.0,666.0
0.0,18.1,0.0,0.655,6.209,65.4,2.9634,24.0,666.0
0.0,18.1,0.0,0.655,5.759,48.2,3.0665,24.0,666.0
0.0,18.1,0.0,0.655,5.952,84.7,2.8715,24.0,666.0
0.0,18.1,0.0,0.584,6.003,94.5,2.5403,24.0,666.0
0.0,18.1,0.0,0.58,5.926,71.0,2.9084,24.0,666.0
0.0,18.1,0.0,0.58,5.713,56.7,2.8237,24.0,666.0
0.0,18.1,0.0,0.58,6.167,84.0,3.0334,24.0,666.0
0.0,18.1,0.0,0.532,6.229,90.7,3.0993,24.0,666.0
0.0,18.1,0.0,0.58,6.437,75.0,2.8965,24.0,666.0
0.0,18.1,0.0,0.614,6.98,67.6,2.5329,24.0,666.0
0.0,18.1,0.0,0.584,5.427,95.4,2.4298,24.0,666.0
0.0,18.1,0.0,0.584,6.162,97.4,2.206,24.0,666.0
0.0,18.1,0.0,0.614,6.484,93.6,2.3053,24.0,666.0
0.0,18.1,0.0,0.614,5.304,97.3,2.1007,24.0,666.0
0.0,18.1,0.0,0.614,6.185,96.7,2.1705,24.0,666.0
0.0,18.1,0.0,0.614,6.229,88.0,1.9512,24.0,666.0
0.0,18.1,0.0,0.532,6.242,64.7,3.4242,24.0,666.0
0.0,18.1,0.0,0.532,6.75,74.9,3.3317,24.0,666.0
0.0,18.1,0.0,0.532,7.061,77.0,3.4106,24.0,666.0
0.0,18.1,0.0,0.532,5.762,40.3,4.0983,24.0,666.0
0.0,18.1,0.0,0.583,5.871,41.9,3.724,24.0,666.0
0.0,18.1,0.0,0.583,6.312,51.9,3.9917,24.0,666.0
0.0,18.1,0.0,0.583,6.114,79.8,3.5459,24.0,666.0
0.0,18.1,0.0,0.583,5.905,53.2,3.1523,24.0,666.0
0.0,27.74,0.0,0.609,5.454,92.7,1.8209,4.0,711.0
0.0,27.74,0.0,0.609,5.414,98.3,1.7554,4.0,711.0
0.0,27.74,0.0,0.609,5.093,98.0,1.8226,4.0,711.0
0.0,27.74,0.0,0.609,5.983,98.8,1.8681,4.0,711.0
0.0,27.74,0.0,0.609,5.983,83.5,2.1099,4.0,711.0
0.0,9.69,0.0,0.585,5.707,54.0,2.3817,6.0,391.0
0.0,9.69,0.0,0.585,5.926,42.6,2.3817,6.0,391.0
0.0,9.69,0.0,0.585,5.67,28.8,2.7986,6.0,391.0
0.0,9.69,0.0,0.585,5.39,72.9,2.7986,6.0,391.0
0.0,9.69,0.0,0.585,5.794,70.6,2.8927,6.0,391.0
0.0,9.69,0.0,0.585,6.019,65.3,2.4091,6.0,391.0
0.0,9.69,0.0,0.585,5.569,73.5,2.3999,6.0,391.0
0.0,9.69,0.0,0.585,6.027,79.7,2.4982,6.0,391.0
0.0,11.93,0.0,0.573,6.593,69.1,2.4786,1.0,273.0
0.0,11.93,0.0,0.573,6.12,76.7,2.2875,1.0,273.0
0.0,11.93,0.0,0.573,6.976,91.0,2.1675,1.0,273.0
0.0,11.93,0.0,0.573,6.794,89.3,2.3889,1.0,273.0
0.0,11.93,0.0,0.573,6.03,80.8,2.505,1.0,273.0
